text,label
i have booked 2 tickets for you on tr4567 .,0
how about graffiti ? it is located in the west part of town .,1
thank you for using our system !,1
"i would suggest primavera . their phone number is 01223357708 , their address is 10 king 's parade , and their postcode is cb21sj .",0
have a great day !,1
"there are 13 listings for colleges at the city centre , plenty to check out . do you need info on any particular college ? or narrow it down by entrance fee ?",1
have a great day ! goodbye .,1
i have several options would you like the info ?,1
i was able to book you a table for 6 at the curry prince at 14:00 on tuesday . the reference number is zdgujivy .,0
the address is jesus lane .,0
there are two trains that leave from london kings cross to cambridge . what time would you like to leave ?,0
you are welcome . have a nice day .,0
it is a museum located at 98 king street .,0
"yes , the royal standard is in the east . i would be happy to book a table for you if you can tell me the day , time , and number of people .",1
i would recommend milton country park . would you like the information ?,1
booking was successful . reference number is : apwdpyel .,0
where are you leaving from ?,0
booking was successful . reference number is : 5mr8ko1d . is there anything else i can help you with ?,0
"i d be happy to help with your request , first i ll need to know where you are departing from .",0
"you are in luck , there are a great number of guesthouses that might work . did you have an area in mind ?",1
"you are welcome , enjoy your meal .",1
there are over one hundred trains departing kings lynn and arriving in cambridge . what day and time would you like to travel ?,0
"the south side has a lot going on . there is ceneworld cinema for movies , the place is a great nightclub and there are some museums in the area as well .",1
there are 6 trains available . do you have a departure time ?,0
the phone number is 01223354755 and the post code is cb28nx .,1
"it is located in the west . the address is silver street , postcode cb39et . phone number 01223335511 . entrance fee is 2.50 pounds . can i help with anything else ?",0
thank you for using our system !,1
"yes , the bedouin in the city centre is a good , expensive restaurant .",1
thank you good bye,1
how many nights will you be staying ?,0
i have 5 place -s in the centre that have free parking and internet .,0
i have three 2 star hotel -s with free wi-fi . do you have a price range or part of town in mind ?,1
"your taxi service is booked . be expecting a black volkwagen . if you need to reach them , please call 07338019809 .",1
there are 110 entries . is there a type of food you are searching for ?,1
"i have a lot of different locales and attractions in my database , is there anything you would like to see in particular ? or search by location ?",1
and what would your preferred destination be ?,1
the booking was successful . the table will be reserved for 15 minutes . reference number is 4916j7lz . what else can i help you with ?,1
is there anything else you need ?,1
"i have four trains that meet your criteria , what day will you be travelling ?",0
"i can help you with that . what is your destination , departure and what day are you traveling ?",0
there are none in that side . can we change location ?,1
"how about el shaddai , it seems lovely .",1
"i can tell you that byard art is located at 14 king 's parade , postcode cb21sj . does that help ?",1
i hope you have a great day .,1
"i would recommend tenpin . their address is cambridge leisure park , clifton way and their phone number is 08715501010 . their postcode is cb17dy . is there anything else i can help you with ?",0
"their address is unit g6 , cambridge leisure park , clifton road . the postcode is cb17dy . is their anything else i can do for you ?",1
"tr3293 arrives by 9:35 , would you like me to book that ?",0
sure thing your reference number is sin65pg9,1
you are welcome . please let me know if there is anything else i can help with .,0
"unfortunately , i am unable to book at 9:45 and 10:45 on friday . would you like me to try another time ?",0
"booking was successful , the total fee is 70.7 gbp payable at the station . reference number is : 3nm16ry8 . is there anything else i can help with today ?",0
the riverside brasserie is in the moderate range .,0
you are very welcome . have a great day !,0
"thank you , have a good day , goodbye .",1
do you have a time preference ?,0
"thank you , goodbye .",0
the train id is tr6357 . is there anything else i can help you with ?,0
tr1037 leaves from the same city .,0
"i was able to book it , reference number is mtq1yzll",1
the taj tandoori is an indian restaurant in the south area of the city in the expensive price range . would you like to book a table ?,0
how many people for the taxi ?,1
you are very welcome . please let us know if we can be of any further assistance .,0
just let us know when you are ready to book and we will be happy to assist you . have a great day !,1
okay . please let us know if there is anything else we can do for you during your visit to cambridge .,1
thank you for using our service . have all of your needs been met ?,1
you are very welcome . have a great day !,0
the home from home guesthouse is a moderate -ly priced 4 star hotel in the north area of town . would you like to book a room ?,0
"here 's you are: cb12lf , 12 norfolk street city centre .",1
their phone number is 01223366668 and postcode is cb30ah . would you like me to book it for you ?,0
i have booked you 7 tickets on the tr1086 . your reference is ij6zq2gf and the total fee of 92.4 gbp is payable at the station . can i help you with anything else ?,1
there is the pizza hut fen ditton that serves italian food . would that be ok ?,0
i have a train leaving cambridge at 17:40 and arriving at the airport at 18:08 . would you like to book that ?,0
the only listing we have is for bedouin in the city centre . would you like to try a different type of cuisine ?,1
"i am sorry , but i do not have any guesthouses in the north in the expensive range that offer free wifi .",0
there are 4 guesthouses that are in the moderate price range . what area would you like to stay in ?,0
thank you for using our services .,0
"there are three chinese restaurant -s in the centre area , i recommend the lan hong house . they are in the moderate price range .",0
i can definite -ly help you with that . where are you departing from and where is your destination ?,0
i am sorry . lovell lodge still has no bookings available for wednesday . would you like to try a different hotel ?,1
"yippee noodle bar (asian oriental) , restaurant one seven (british) , and the oak bistro (british) are all nearby",1
clowns cafe is an expensive italian restaurant in the centre .,0
there are 7 choices . how about cafe jello gallery ? it fits your needs and has free admission . would this work for you ?,1
"there are several churches , architecture attractions . would you like one of them ?",1
your booking was successful . the reference number is gzh5q65c . is there anything else i can help you with ?,0
where did you wan to leave from and go to ?,1
i can help you with that . where would you like to travel and what time would you like to travel ?,0
there are 13 colleges in the centre area . they are all free .,0
"alright , i have booked a yellow audi for you .",1
okay the system is up and running again . i was able to successfully book your stay and your reference number is stnww1ab .,1
bloomsbury restaurant is an international restaurant in the center of town . they are moderate -ly priced . would you like me to book it for you ?,0
i have many . is there a price range that you prefer ?,1
"alright , you have booked two tickets on tr3839 , leaving at 05:39 . your reference number is xdxe55ly .",1
you are very welcome .,1
i have 133 trains leaving cambridge and arriving in kings lynn . what day and time would you like to arrive ?,0
i have found two restaurant -s that meet your needs . i recommend pipasha restaurant . would you like more information or to book a table ?,0
which are would you like to stay in ?,1
"i found the acorn guest house , would you like me to book it for you ?",1
i was able to book that for you and your reference number is 2399p9me .,1
there are no swedish restaurant -s in town . there are 9 indian restaurant -s . what price range are you looking for ?,0
"there are 4 trains that will arrive before 12:45 , do you have a preferred departure time ?",1
"i have you in a red lexus , 07595414661 is the number to call if you need to speak to them .",1
i,0
the lensfield hotel is the only expensive hotel in the south . would you like more information about it ?,0
you are welcome . have a great day !,1
there are 2 indian restaurant -s and one italian . which would you prefer ?,1
ali baba is a lebanese restaurant located at 59 hills road city centre . would you like the phone number ?,0
christ 's college is in the centre and has free admission .,0
little seoul is a good place . would you like to make a reservation ?,0
just in case you need it the phone number is 01223247015 . was there anything else i can assist you with today ?,1
"the address is cambridge leisure park , clifton road . the postcode is cb17dy . can i help you with anything else ?",0
"booking was successful , the total fee is 23.6 gbp payable at the station . reference number is : r57g4du4 . can i help with anything else today ?",0
you are welcome . have a great day .,0
their postcode is cb23nz . can i help with anything else ?,0
the phone number is 01223566188 . is there anything else i can help you with today ?,1
tr7759 leaves cambridge at 15:29 on thursday and arrives at bishops stortford by 16:07 . will this work for you ?,0
"there are 23 museums in cambridge , is there a specific area you d like ?",0
have a nice day . good bye .,1
what day will you be traveling ?,0
i have two options . graffiti and travellers rest . would you like me to book one for you ?,0
thank you for using the cambridge towninfo centre . have a great day .,0
what day would you like to go and where will you be departing from ?,1
the acorn guest house may be a great option .,1
"i would be happy to do that . what is your arrival date , how many in your party , and how many nights ?",1
i have booked a taxi for you . the car type is a blue volvo and the contact number is 07600966751 .,0
i can help with that . where are you departing from ?,0
it is a concerthall . the phone number is 01223474144 and there is no information on the entrance fee . can i help with anything else ?,0
"i am sorry , the earliest arrival time available is 16:52 on wednesday with a departure time of 16:24 . would you prefer tuesday ?",1
"since that will not work for you , i can get you on a train that leaves at 13:24 and will arrive by 13:52 . would you like me to book your seat ?",1
you are welcome . have a great day .,0
cocum is located in the west part of town . would you like the address ?,0
charlie chan is located in the centre and it is cheap ! would you like me to book it for you ?,1
"you are welcome , enjoy your stay .",0
"there are not any sri lankan restaurant -s in the centre , can i look for another cuisine type ?",0
the arrival time is 10:07 .,0
"i have trains leaving at 09:24 and arriving at 09:52 , do you have a preference for departure or arrival time ?",0
sure ! the postcode is cb17ag . would you like to make a booking ?,1
"thank you , have a great day .",0
it is a moderate -ly priced guesthouse in the east with free parking . would you like the phone number ?,0
what price range would you like ?,0
the price is 4.40 pounds .,1
"there is one available , the cambridge lodge restaurant , would you like me to book you ?",1
"i am sorry , but there are no matches for your request .",0
"cityroomz is in the centre , moderate -ly priced with 0 stars . they do have internet . would you like me to make a booking for you ?",0
"i have found three trains leaving cambridge for broxbourne . they arrive at 06:01 , 07:01 , and 08:01 . each departs one hour from their arrival time . which train would you like to book ?",1
there are 21 place -s to stay that meet your criteria .,0
you are welcome . have a great day .,1
there are four great restaurant -s to choose from . do you prefer one on the south side of town or in the centre ?,1
i have got you a reservation for 6 at hobson 's house for 2 nights . your reference number is 4wngilmf .,1
the lovell is a hotel located at 365 milton road . their number is 01223425478 . is there anything else i can help you with today ?,0
the place is a nightclub . would you like the address ?,0
ok what time will you be departing from cambridge ? what is your destination ?,1
i have head the curry prince is fantastic . what area are you looking for ?,1
"you are welcome , have a great day .",0
enjoy your visit . please give me a call if you need any more help during your visit .,1
where will you be departing from and what day would you like to travel ?,0
their phone number is 01223902112 .,0
loch fyne 's number is 01223362433 . can i help you with anything else today ?,0
thank you for using our system .,1
"okay , you are all set . be on the look out for a blue tesla . you can reach the taxi at 07814723348 . can i do anything more for you ?",1
you are welcome . have a great day .,0
have a nice day .,1
there are 32 hotel -s or guesthouses with free wifi . what price range are you looking for ?,1
where are you departing from and arriving to ?,0
hope you have a great trip . good bye .,1
"thank you , goodbye !",0
there are no 5 star hotel -s in that area .,0
there are 10 trains that meet your criteria . do you have a departure or arrival time in mind ?,0
booking was successful . reference number is : 058asaoj .,0
"yes , they serve and indian . would you like me to make a reservation ?",0
enjoy your stay .,1
could you double check that you've spelled the name correctly ? the closest i can find is nandos .,1
the postcode for that attraction is cb23hg . is there anything more i can help with today ?,1
great saint mary 's church is an architecture location in the centre of town .,1
