prompts
there are
i have
you are
thank you
i am
"yes ,"
booking was
"sure ,"
there is
"okay ,"
we have
i would
it is
have a
i can
how about
"ok ,"
i was
is there
the address
do you
the phone
what day
your booking
would you
certain -ly
how many
what time
of course
sure .
the postcode
i found
sure !
okay .
no problem
i recommend
great !
"unfortunately ,"
sure thing
i do
"alright ,"
where will
yes i
"great ,"
what is
the booking
enjoy your
thanks for
the train
they are
"no ,"
"sorry ,"
can i
their phone
i will
booking completed
yes it
the cambridge
great .
ok .
i booked
okay i
where are
the price
what area
it was
what type
are you
you have
your reference
yes .
can you
the travel
your welcome
may i
your reservation
i apologize
the acorn
where would
addenbrookes hospital
okay !
their address
i hope
that is
your taxi
your table
absolutely !
unfortunately there
the first
reference number
glad to
glad i
ok i
absolutely .
when would
if you
happy to
goodbye .
okay great
did you
the post
i sure
acorn guest
will you
yes there
their postcode
you can
what price
the earliest
ok great
the entrance
the reference
yes the
alexander bed
i need
the only
alright .
sure i
yes they
christ 's
it has
we do
"absolutely ,"
the lensfield
i think
the gonville
my pleasure
the number
i show
and what
"well ,"
it looks
i see
all right
we are
here is
for how
done !
good bye
the alexander
could you
not a
unfortunately i
i'll be
the allenbell
all saints
what kind
the ashley
okay the
and where
it does
da vinci
the closest
sure the
pizza hut
they do
the contact
yes !
your train
how does
nandos is
what about
it will
rosa 's
booked !
little seoul
the golden
on what
my apologies
i cannot
a and
curry prince
i suggest
the parkside
the nearest
let me
the addenbrookes
chiquito restaurant
you will
i could
cityroomz is
just to
"excellent ,"
welcome .
the broughton
golden wok
the missing
excellent .
yu garden
the curry
i got
which day
the huntingdon
the cost
the arrival
that booking
your room
your all
thanh binh
in the
in what
which area
the hotel
they serve
bangkok city
my favorite
churchill college
express by
the hamilton
what are
the total
that would
broughton house
let us
i like
ashley hotel
ok !
okay and
the museum
actual -ly
you too
el shaddai
the avalon
hobsons house
where is
finches bed
great i
royal spice
i made
i certain
cambridge artworks
yes that
no i
their number
the university
please contact
yes of
frankie and
the gardenia
old schools
saigon city
la margherita
