text,label
the car is a yellow tesla . contact number: 07951091729,1
thank you for using our services . have we met all of your needs today ?,1
"the cow pizza kitchen and bar is a moderate -ly priced gastropub in the centre of town . it is located on corn exchange street , and the phone number is 01223308871 .",1
"sure i have corpus christi in the city centre and christ 's college , which is very famous in the centre .",1
would you like me to book it for you ?,1
tr8300 departs by 9:39 at 01:45 +0000 leaving tianjin at 09:32 arriving at 10:33 departing at 12:09 departing at 14,0
it has several beautiful swimming pools and great restaurant -s along the way . you can book them anytime to book for yourselfit is often held on certain days or on,0
several good books . how about they have ?,0
"i'll be glad to find you a place , first is there an area or price range you recommend ?",1
also have a reference number from the taxi driver -s listed in the table at the back of the post) .,0
"tr1549 leaves you with an interesting question . there are over 4 possibilities for your hotel in miihong , with availability information in the earlier stages of",0
their travel documents will not match any travel criteria it is your booking which may be of a different type . how about a certain type of food which is,0
"thank you , goodbye .",1
that train costs 4.40 pounds .,1
"sure they are not checking anything else .  if your reference number is 062836599 , that is sufficient for them to do the above thing , though",0
"tr1610 leaves 2wd -22 in 4wd 3rd tr1158 leaves ca 07:58 , hits 6887 in the 5th tr2436 leaves 4",0
tr1659 departs 0:11:53 01:07:29 02:27:10 05:33:51 19:33:21 26 (two people travelling,0
"was that what was there for her ?  malhahnino !  he said , his voice almost awkward . yeah , it is",0
we have two hotel -s with 4 star rating -s . would you like it in the west or centre ?,1
"unfortunately , after trying to book again i was still unsuccessful . would you like to try another day or time ?",1
"tr3078 departs at 19:43 okay , i will make a post on how many people are there today and what day i will be departing -",0
tr7966 does that look right ?,0
"there is one restaurant that serves modern european at a cheap price , it is the river bar steakhouse and grill in the centre of town . would you like more information ?",1
tr2392 arrives at 14:43 and arrives in san francisco at 14:45 . it is on the 4th of november of that year . time line and time,0
"there are 5 nightclubs located in the centre . i recommend the ballare , which has a 5 pound entrance fee .",1
i am glad the cambridge towninfo centre helped you . goodbye .,1
tr8151 will appear in . postmarked your address and number : 3c12jjru,0
"in what area would you like ? leverton is in the east , should the hotel be in the same area ?",1
"i am sorry , i cannot book anything for that restaurant at all that night . is there a different restaurant i can try for you ?",1
which station will have international seating) · close by: dining area of the station will be situated at the entrance . will have international,0
i have 10 cheap hotel -s available . which area of town are you looking to stay in ?,1
"sure , tr7734 will get you to peterborough on sunday . it leaves at 19:06 . how does that work ?",1
give us a few minutes to meet you at the airport located at 5011 houston avenue . ,0
can i look up anything else for you ?,1
the old 58 vw 75405 i am glad you are okay .,0
"i have a high quality of products here and have good results ,  she said . how many days did you travel to thailand ? the total length",0
sure u feel welcome ? i'll be sure to help with that . yay ! that would be great ! thank you ! bye goodbye !,0
cb58wrwould you like more information ?,0
"the departure time is 13:35 , and price is 3.52 pounds .",1
the tr6906 last . yea . what is that price ?,0
"thank you . have a nice day , goodbye .",1
cb12dp . did the filing permit you all day ?,0
i made a reservation for you at the lensfield hotel . your reference is rvyqn9i6 . please let me know if you need anything else .,1
"panahar looks like you want to stay in the states , sorry for that .",0
what would you like to know ?,1
where would you like to depart from and where do you want to arrive at ?,1
sure . it is located in the centre and their postcode is cb12lj .,1
there are 21 results . is there a certain type of food you would like ?,1
booking completed ! a white lexus will be picking you up . their contact number is 07650851838 . can i help with anything else today ?,1
"we have 79 parks in the cambridge area , what area of cambridge would you like to go to a park in ?",1
the tr9407 . . . . . . . . . . . . . . . . . . . 19 .,0
