prompts
sorry bout
the tr8510
the tr5831
tha adress
where did
grafton hotel
their is
cityroomz aligns
what kind
train tr4626
sure how
which are
i hope
for 14:00
the tr3877
wagamama is
and you
the police
my search
well it
train tr9209
tr1006 arrives
train tr2078
it can
no they
my computer
attractions are
tr2815 arrives
tr5713 leaves
i love
the tr4447
tr5626 leaves
you very
three place
tr6539 will
yes finches
"cb21en ,"
tr7727 will
46 rose
tr7024 is
ok in
the tr1923
we love
they is
are there
unfortunately my
tr3947 leaves
loch fyne
oh no
tr3889 departs
4ssokt22 is
nice it
yes allenbell
another option
monday just
neither are
if we
you also
tr2987 departs
a yellow
i could
you depart
the tr6003
"glad ,"
is a
tr5285 leaves
01223312843 is
train tr0394
the ruskin
tr0031 leaves
then you
eraina has
as it
a reservation
tr2939 will
tr4537 has
tr0545 can
limehouse is
nice talking
the full
it should
as stated
the tr0684
tr939 leaves
its called
tr2586 arrives
it sounds
christ college
maybe i
we actual
yes sir
we're happy
see where
cb21tt is
give us
said to
train tr7468
byard art
addenbrookes hospital
the 5
the riverboat
tr1395 arrives
unfortunately we
train tr7678
always welcome
the reference
which days
reservation is
and what
i absolutely
worth house
the varsity
parking is
tr2860 arrives
which attraction
parkside pool
what can
cote is
fantastic !
with the
tr5413 leaves
starting at
four star
finches is
absolutely ?
that address
tr6806 will
my apologies
"why ,"
tr8932 will
please do
the centre
they did
please give
the tr7846
the tr9859
the tr6898
i'll get
your most
perfect !
want me
01223337766 .
kymmoy 's
tr2436 will
tr8631 cost
you did
the cambridge
so you
allright .
here is
tr1997 leaves
tr2045 leaves
the tr6898
the tr2420
tr5693 meets
the varisty
got it
surethe travel
the tr5729
taxi is
thanks alot
tr6759 leaves
the magdalene
tr4969 will
anatolia and
dojo noodle
train tr8176
what dates
yu garden
your vehicle
the full
"tr6583 ,"
yes several
ok it
unfortunately we
tr2835 will
any location
churchill college
the tr6003
the tr7213
i'll need
the dojo
acron guest
tr4216 arrives
if your
tr2025 leaves
4ssokt22 is
tr9448 is
the ruskin
the tr4288
no entertainment
red toyota
tr5331 leaves
restaurant two
17.60 pounds
"excellent ,"
the tr3805
8.08 pounds
the vue
tr0315 is
the tr8464
enjoy yourself
arriving at
okay that
wagamama serves
the tr3371
autumn house
postcode: c
the yipppee
they just
tr4748 deperts
the tr8519
unfortunately those
the tr0552
these are
i hop
these trains
the varisty
tr6224 would
well i
tr9452 leaves
camboats address
do not
michaelhouse cafe
the east
train tr6662
alright it
saint johns
this time
michael house
tr4669 leaves
tr9805 will
to clarify
tr1952 leaves
the tr3544
no boats
the tr2166
the tr7285
sure can
the tr7458
hotel du
52 mill
train 0277
tr7310 is
hace a
i ran
tr5077 leaves
all three
two trains
alright tr2239
"anatolia ,"
what star
don pasquale
good luck
that information
enjoy yourself
absolutely the
tr8372 leaves
one more
the north
train 6383
reference number:
any idea
all architecture
it turns
want to
the tr4651
successfully booked
i double
tr3566 is
train# tr7548
i just
so glad
you reservation
their postal
8 mercers
the tr9366
the tr9533
only 17
kymmoy is
it offers
as it
"well ,"
yes free
okwhat day
with your
the botanical
the is
hamilton lodge
tr5626 leaves
train tr2232
nirala is
what department
wagamama serves
confirmed table
yes please
the earliest
tr6110 has
tr8042 will
well do
tr5725 leaves
the tr5385
the tr1827
the tr2508
train tr1542
that works
for town
okay that
"you ,"
train 1610
for moderate
tr5711 will
which days
the pizza
you take
yes lan
i see
also what
the gardens
glad you
oh may
tr8224 arrives
great your
terrific .
tr1681 leaves
tr3765 leaves
16.50 pounds
great kymmoy
why sure
great guesthouse
grafitti has
alright !
train tr8530
train tr9114
tr8842 arrives
gladly .
the tr5831
tr1681 will
tr6247 leaves
the nightclub
tr2083 will
the slug
lets finish
take your
jesus lane
tr2379 is
all the
i did
tr418 leaves
the rice
the tr3246
the tr4964
italian and
tr4977 will
the tr4076
you would
tr1688 leaves
no problem
the hakka
ok sure
the old
no .
yes tr4765
how people
tr0254 arrives
cityroomz meets
i narrowed
train tr9360
tr5358 leaves
department phone
the tr4494
riverside brasserie
maybe i
ok there
nandos address
yes sir
train tr9360
the curry
hi .
the first
tr5511 leaves
okay to
christi 's
01223312843 is
train tr8466
tr3211 leaves
tr3602 departs
hace a
tr8399 leaves
"indian ,"
safe travels
call 01223358966
the chiquito
i personally
maybe old
that address
all booked
it can
tr4256 will
alimentum is
its address
yes please
the tr1233
train tr9016
same time
there ar
goodbye too
it fits
reservation is
we can
cb23qf .
i love
the tr7850
welcome andhave
royal standard
tr5921 departs
sidney sussex
tr8238 .
the entrance
the bryard
tr5874 arrives
tr7075 cambridge
yes several
gastroenterology hospital
tr8903 leaves
tr7024 is
than you
that reservation
the north
its postcode
tr2392 arrives
tr7098 departs
why yes
i'll gladly
those days
is is
their id
we love
that trip
tr1392 .
tr8933 will
"16:38 ,"
cambridge artworks
welcome any
great your
ok where
so we
tr7852 looks
indian food
wait .
cheap we
assuming you
the tr1389
the holiday
the tr3347
tr3466 leaves
train #tr4330
those days
the incorrect
sure travel
al set
for which
maharajah tandoori
the tr2232
prezzo 's
please do
"woah ,"
before going
archway house
12.80 pounds
